Frame,X,Y,Time
0,490,147,0.0
1,491,151,0.186004638671875
2,492,154,0.24668645858764648
3,492,158,0.302687406539917
4,493,162,0.3576979637145996
5,492,164,0.40968847274780273
6,493,168,0.4616880416870117
7,492,171,0.5306899547576904
8,492,174,0.6046912670135498
9,492,176,0.6716873645782471
10,490,180,0.7426865100860596
11,490,184,0.7976858615875244
12,484,190,0.85768723487854
13,489,190,0.9124910831451416
14,488,192,0.9645469188690186
15,488,196,1.0191352367401123
16,486,199,1.0781326293945312
17,486,204,1.1324026584625244
18,485,208,1.1886308193206787
19,487,211,1.242628574371338
20,485,214,1.2963206768035889
21,487,219,1.3485169410705566
22,488,221,1.4015204906463623
23,486,224,1.4525113105773926
24,487,228,1.5055124759674072
25,488,232,1.5545120239257812
26,487,236,1.60451078414917
27,485,238,1.6555228233337402
28,488,241,1.705521583557129
29,490,245,1.7552051544189453
30,490,248,1.8064336776733398
31,488,251,1.8561084270477295
32,487,254,1.905287742614746
33,487,257,1.9562759399414062
34,487,262,2.0082764625549316
35,485,265,2.059276580810547
36,484,268,2.1122801303863525
37,484,272,2.163275957107544
38,483,275,2.2142789363861084
39,483,279,2.267275333404541
40,481,282,2.3182785511016846
41,482,285,2.3702774047851562
42,482,289,2.4238791465759277
43,481,293,2.4748618602752686
44,483,297,2.525524377822876
45,485,300,2.5765297412872314
46,484,303,2.6285207271575928
47,484,307,2.6795177459716797
48,485,309,2.728517532348633
49,484,313,2.781517505645752
50,484,316,2.8325202465057373
51,486,319,2.8825201988220215
52,486,323,2.932521104812622
53,485,325,2.985521078109741
54,485,329,3.034517765045166
55,485,333,3.085517406463623
56,483,336,3.135531187057495
57,484,339,3.1845197677612305
58,483,342,3.2384207248687744
59,482,346,3.3165464401245117
60,481,349,3.407543420791626
61,480,353,3.4615445137023926
62,481,356,3.513544797897339
63,479,359,3.5645463466644287
64,478,364,3.615543842315674
65,480,367,3.6675448417663574
66,479,371,3.7175443172454834
67,480,375,3.7695446014404297
68,480,378,3.8215444087982178
69,480,381,3.8745439052581787
70,481,384,3.9245476722717285
71,480,387,3.9755451679229736
72,480,391,4.028175354003906
73,480,393,4.08317494392395
74,480,396,4.137173891067505
75,480,399,4.189172983169556
76,481,403,4.240175724029541
77,481,407,4.292868137359619
78,481,410,4.3478593826293945
79,480,412,4.400857210159302
80,479,416,4.453869819641113
81,480,420,4.5048558712005615
82,478,422,4.5612633228302
83,477,426,4.61782693862915
84,476,430,4.67704176902771
85,475,434,4.733511209487915
86,474,436,4.790712594985962
87,475,440,4.846982002258301
88,474,444,4.903231143951416
89,476,447,4.961127042770386
90,475,450,5.016110897064209
91,476,454,5.078112840652466
92,476,457,5.133110046386719
93,476,460,5.188110589981079
94,476,464,5.246113061904907
95,474,468,5.306114196777344
96,477,470,5.362349987030029
97,476,474,5.4153501987457275
98,476,476,5.471562147140503
99,476,480,5.5282511711120605
100,476,482,5.583730459213257
101,475,486,5.637117862701416
102,475,489,5.6874871253967285
